route,primary_query_or_topic,primary_intent,supporting_questions,unique_value,next_action,indexability,evidence
/,healthy fast food meal finder,A little less guessing. A meal that fits.,What matters for this meal?; See what’s on the menu.; Start with your daily macros.; Choose a restaurant.; From a preference to an order.; Useful things to know.,Healthy fast-food meal finder,Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/404.html,No search target,Let’s find your next meal instead.,,Recovery navigation for an unavailable address,Find a meal or search,noindex,Repository content; qualitative research in seo-research.md; no volume estimate
/about.html,About GetMacros,About GetMacros,How it works; Where the numbers come from,"Publisher-specific methods, commitments or operational disclosures",Contact GetMacros: /contact.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/accessibility.html,Accessibility at GetMacros,Accessibility at GetMacros,Features you can use; Small screens and larger text; What still has limits?; Report a barrier,"Publisher-specific methods, commitments or operational disclosures",Contact GetMacros: /contact.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/are-diet-drinks-bad-for-you.html,Are diet drinks bad for you?,Are diet drinks bad for you?,"The short answer; Start with the comparison; Are the sweeteners safe?; What about aspartame and cancer?; Do diet drinks help with weight loss?; Why does WHO advise against using sweeteners for weight control?; What observational studies can and cannot tell you; Teeth, caffeine and appetite still count; A practical decision guide; Sources and scope; What to take away","Source-linked explanation: A diet soda can be a useful swap, an ordinary preference or a habit worth changing. The evidence depends on what it replaces and what question you ask.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/articles.html,Nutrition basics,Nutrition basics,Start with the basics; Calories and weight goals; Food labels and nutrients; Everyday meals; Training and your routine,Find a clear answer to your food and nutrition questions.,Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/best-fast-food-restaurants-for-your-goals.html,Healthy fast food: which restaurant fits your goal?,Healthy fast food: which restaurant fits your goal?,"Start with the meal, not the restaurant’s reputation; High protein in a small portion; A bowl you can customize; A sandwich with a clear portion size; A warm meal with fiber; A plant-based bowl; A larger chicken-and-rice order; What about Taco Bell?; How to choose quickly; About these comparisons; Sources","Source-linked explanation: Compare real orders for protein, calories, fiber and portion size. The best choice depends on what you want from your next meal.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/blog.html,nutrition questions and restaurant comparisons,Food questions worth a closer look.,Which fast-food restaurant fits your goal?; How much protein can your body absorb at once?; Are diet drinks bad for you?; Does creatine cause hair loss?; Calories vs. macros: what matters more?; New to nutrition?,The GetMacros journal,Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/body-recomposition-explained.html,Body recomposition: can you lose fat and build muscle?,Body recomposition: can you lose fat and build muscle?,Who is most likely to make progress?; What should you focus on?; How do you track recomposition?; How long does it take?; When should you change the plan?; Sources,"Source-linked explanation: Body recomposition means losing body fat while gaining muscle. It can happen, but progress is gradual and the scale may not show the full change.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/budget-meal-builder.html,Simple Meal Ideas,Simple Meal Ideas,"Bean & rice bowl; Eggs on toast; Yogurt, oats & berries; Chicken & avocado wrap; Tofu & vegetable noodles; Tuna baked potato; Make it fit your day",Cooking at home? Start with one of these six easy meals and adjust the portions to suit you.,Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/calculators.html,Free macro calculator,Free macro calculator,"Calculate protein, fat or carbs; Cooking or choosing food?","Working numeric inputs, units, validation, results and method notes",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/calories-on-rest-days.html,Should you eat the same calories on rest days?,Should you eat the same calories on rest days?,Both approaches can work; Why rest days still need food; Keep these anchors steady; When calorie cycling may be useful; When the same target may be better; A simple way to set the week; The decision in one sentence; Sources and evidence,"Source-linked explanation: A rest day is still a recovery day. Your calorie pattern can change, but the weekly plan still has to add up.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/calories-vs-macros-what-matters-more.html,Calories vs. macros: what matters more?,Calories vs. macros: what matters more?,The short answer; Calories and macros are not competing systems; Calories and weight change; Protein changes what the plan supports; Carbohydrate affects the work you can do; Fat is not a leftover macro; Which matters most for each goal?; Why “hitting macros” can still miss the point; Do you need to track both?; A simple way to start; Why two plans with the same calories can feel different; Sources and scope; What to take away,Source-linked explanation: Calories describe how much energy you eat. Macros describe where most of that energy comes from. Your goal helps you decide which numbers to focus on.,"Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/can-you-build-muscle-in-a-calorie-deficit.html,Can you build muscle in a calorie deficit?,Can you build muscle in a calorie deficit?,The honest answer is “sometimes”; Who has the best chance?; What the strongest experiment can—and cannot—show; Build the plan around four priorities; Sources and evidence,Source-linked explanation: Possible does not mean equally likely for everyone—or optimal for maximizing muscle gain.,"Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/carbohydrate-label-portion-tool.html,Carb calculator,Carb calculator,Your food label; Your results; Turn a label into your portion,"Working numeric inputs, units, validation, results and method notes",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/carbs.html,What do carbs do in your body?,What do carbs do in your body?,What counts as a carbohydrate?; How do carbs help with exercise?; Does your brain need carbs?; How many carbs should you eat?; Choose carbs you enjoy; Sources,"Source-linked explanation: Carbohydrates provide energy. Foods such as oats, rice, potatoes, fruit and beans can also bring fiber, vitamins and minerals to your meals.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/cava-healthy-meals-macros.html,Healthy CAVA meals,Healthy CAVA meals,Find your meal; CAVA orders by goal; How to order at CAVA; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/chick-fil-a-healthy-meals-macros.html,Healthy Chick-fil-A meals,Healthy Chick-fil-A meals,Find your meal; Chick-fil-A orders by goal; How to order at Chick-fil-A; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/chipotle-healthy-meals-macros.html,Healthy Chipotle meals,Healthy Chipotle meals,Find your meal; Chipotle orders by goal; How to order at Chipotle; Menu sources; More nutrition guides; Compare another restaurant,"Specific tracked U.S. orders, included ingredients, nutrition table and official chain sources",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/contact.html,Contact GetMacros,Contact GetMacros,Write your message,"Questions, ideas or something not working? I read and reply to every email.",Use the meal finder: /restaurant-meal-finder.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/corrections.html,Corrections and updates,Corrections and updates,"How to report a problem; September 9, 2026 — nutrition explanations; September 9, 2026 — restaurant meals; September 9, 2026 — protein food comparisons; September 7, 2026 — recipe and comparison tools","Publisher-specific methods, commitments or operational disclosures",Contact GetMacros: /contact.html,indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/cutting-bulking-maintenance-explained.html,"Cutting, bulking or maintenance: what do they mean?","Cutting, bulking or maintenance: what do they mean?","Three goals, explained simply; What changes in your meals?; Should you cut or bulk first?; Can you build muscle and lose fat together?; How long should a phase last?; Sources",Source-linked explanation: Cutting means eating for weight loss. Bulking means eating to support weight gain and muscle building. Maintenance means keeping weight broadly steady.,"Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
/does-creatine-cause-hair-loss.html,Does creatine cause hair loss?,Does creatine cause hair loss?,"The short answer; Why people connected creatine to hair loss; Why the 2009 result was not enough; What the 2025 trial measured; What the trial still cannot prove; Anecdotes deserve care, not automatic dismissal; What creatine actually does; If you are worried about your hair; Sources and limitations; What to take away","Source-linked explanation: The concern grew from one small study that measured a hormone—not hair. In 2025, a trial finally measured both.","Follow the relevant tool, reference or related guide linked in the article",indexable,Repository content; qualitative research in seo-research.md; no volume estimate
