path,section,decision,reason,final indexability,replacement/redirect if relevant
404.html,Site,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",not indexable / removed,
a1c-cgm-food-patterns-context.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
about.html,Trust,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
accessibility.html,Trust,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
added-sugar-vs-natural-sugar.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
alcohol-and-macros.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
alcohol-associated-liver-disease-nutrition.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
allergen-cross-contact-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
allergen-label-practice-game.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
animal-based-diet-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
antioxidants-and-free-radicals.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
appetite-changes-in-older-adults.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
are-diet-drinks-bad-for-you.html,Journal,SUPPORT,Focused practical guidance that explains or supports a core GetMacros task.,indexable,
are-protein-bars-actually-healthy.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
articles.html,Site,CORE,"Directly supports healthy fast-food discovery, macro tools, or site trust.",indexable,
artificial-sweeteners-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
athlete-diets-quiz.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
atp-explained.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
b-vitamins-and-metabolism.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
balanced-breakfast-formula.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
balanced-meals-for-growing-kids.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
balanced-vegetarian-meal-formula.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
batch-cooking-on-a-budget.html,Site,REMOVE,"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",not indexable / removed,
