old URL/path,action,reason,redirect target if any
/a1c-cgm-food-patterns-context.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/added-sugar-vs-natural-sugar.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/alcohol-and-macros.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/alcohol-associated-liver-disease-nutrition.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/allergen-cross-contact-explained.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/allergen-label-practice-game.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/animal-based-diet-explained.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/antioxidants-and-free-radicals.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/appetite-changes-in-older-adults.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/are-protein-bars-actually-healthy.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/artificial-sweeteners-explained.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/athlete-diets-quiz.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/atp-explained.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/b-vitamins-and-metabolism.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/balanced-breakfast-formula.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/balanced-meals-for-growing-kids.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/balanced-vegetarian-meal-formula.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/batch-cooking-on-a-budget.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/bcaas-explained.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/best-breakfast-for-muscle-gain.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/best-time-to-eat-carbs.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/beta-oxidation-explained.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/biochemistry-quiz.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/biotin-foods-lab-test-interference.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/biotin-thyroid-tests-supplement-interference.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/bloating-and-gas-food-guide.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/blood-sugar-safety-scenario-game.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/body-types-somatotypes-macros.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/bone-health-visit-planner.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/breastfeeding-nutrition-hydration-guide.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
/budget-friendly-fruit-vegetables.html,404 (file removed),"Outside the focused healthy-fast-food and macro-tools product, duplicative, or insufficiently distinctive.",
