route,template,visual_status,copy_status,SEO_status,responsive_status,interaction_status,verification_performed,remaining_issues
/,home,Visually inspected: light 390; light 1440; dark 1440; home state light 1440; navigation state light 390,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked; relevant functional journey exercised,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/404.html,error,Visually inspected: dark 1440; light 390,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/about.html,trust,Visually inspected: light 390; dark 1440,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/accessibility.html,legal,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/are-diet-drinks-bad-for-you.html,article,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/articles.html,reference-index,Visually inspected: light 1440; dark 390,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/best-fast-food-restaurants-for-your-goals.html,article,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/blog.html,journal,Visually inspected: light 390; light 1440,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/body-recomposition-explained.html,article,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/budget-meal-builder.html,meal-ideas,Visually inspected: dark 390 after illustration fix; light 1440,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked; relevant functional journey exercised,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/calculators.html,calculator-hub,Visually inspected: light 390; light 1440; calculated results dark 390 after hierarchy fix,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked; relevant functional journey exercised,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/calories-on-rest-days.html,article,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/calories-vs-macros-what-matters-more.html,article,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/can-you-build-muscle-in-a-calorie-deficit.html,article,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/carbohydrate-label-portion-tool.html,calculator,Visually inspected: dark 390,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked; relevant functional journey exercised,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/carbs.html,article,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/cava-healthy-meals-macros.html,restaurant,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,"Shared keyboard/navigation/theme tested; route runtime and labels checked; shared chain finder exercised on Chipotle, all chain data/source labels validated","10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/chick-fil-a-healthy-meals-macros.html,restaurant,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,"Shared keyboard/navigation/theme tested; route runtime and labels checked; shared chain finder exercised on Chipotle, all chain data/source labels validated","10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/chipotle-healthy-meals-macros.html,restaurant,Visually inspected: dark 1280; dark 1440 after form layout fix,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,"Shared keyboard/navigation/theme tested; route runtime and labels checked; shared chain finder exercised on Chipotle, all chain data/source labels validated","10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/contact.html,contact,Visually inspected: light 1440; dark 390,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked; relevant functional journey exercised,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; visual review logged",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/corrections.html,trust,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
/cutting-bulking-maintenance-explained.html,article,Automated render checked; shared family reviewed; this individual page not manually inspected,Authored corpus reviewed; useful sourced language retained; see copy-review.md,Metadata/canonical/sitemap/internal-link checks passed; intent mapped; no current ranking data,Passed 320/390/768/1024/1440 in light and dark; see render-checks.json,Shared keyboard/navigation/theme tested; route runtime and labels checked,"10 route renders; H1, overflow, header clipping, images, controls, runtime; 3876-link site audit; no individual visual-review claim",Production/CDN and real-device assistive-technology checks not performed; no new verification of all nutrition sources
